id,thread_id,author,author_full,author_id,author_followers,body,timestamp,is_duet,music_name,music_id,music_url,video_url,tiktok_url,thumbnail_url,likes,comments,shares,plays,hashtags,stickers,warning,unix_timestamp
7214306001225485614,7214306001225485614,tannertheplanter,Tanner Mitchell,6706209152333251589,1400000,"It’s a good idea to check your houseplants on a schedule, but I never advise watering on a schedule. Instead, check the plants moisture level and water when it needs it! #plantsoftiktok #planttips #planttiktok ",2023-03-25 02:31:59,False,original sound,7214306012508080938,,https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c799-us/394391c03e1f43a6823241400c5a14e6/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3110&bt=1555&cs=0&ds=3&ft=_RwJrB4Vq8Zmo.QOZc_vjOFFfAhLrus&mime_type=video_mp4&qs=0&rc=ODQ2ZmdlMzU7OmQ5OjlpNUBpMzVnbmQ6Zmc4ajMzZzczNEBfNDE2Xy9hNS4xXjIuMTVhYSNuaS1gcjRvbWNgLS1kMS9zcw%3D%3D&btag=e00080000&expire=1685892835&l=2023060409331646E46337203A26251F02&ply_type=2&policy=2&signature=994314ec6654fc04f6146df0d11b7670&tk=tt_chain_token,https://tiktok.com/@tannertheplanter/video/7214306001225485614,D,215700,713,893,5500000,"plantsoftiktok,planttips,planttiktok",,,1679711519
7223544658540956974,7223544658540956974,stevehusk,Steven Huskisson,6938434446619083782,123900,"Stop using your mouth to start the siphon. Insert the tube below the water, go up then back down quickly ##aquascape##plantedtank##aquarium##tiktok##fyp##oase##plantedaquarium##aquariumhobby##aquascaping##tropica##freshwateraquarium",2023-04-19 00:02:43,False,Cena Engraçada e Inusitada,7180363119678457857,,https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c799-us/o8Ym9CgIQDedQOFDyLkEfn7BPoGrSEGbgAR8xR/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3246&bt=1623&cs=0&ds=3&ft=_RwJrB4Vq8Zmo.QOZc_vjOFFfAhLrus&mime_type=video_mp4&qs=0&rc=OmlnODU4OGU6N2Q2ZmhmZ0BpM2l3OTM6ZnNsajMzZzczNEA2NV41MDAxXjQxMTE2YDY1YSMvL2pmcjRncnNgLS1kMS9zcw%3D%3D&btag=e00080000&expire=1685892810&l=2023060409331646E46337203A26251F02&ply_type=2&policy=2&signature=cfe3262ff0a40bafb03aec10fadd1642&tk=tt_chain_token,https://tiktok.com/@stevehusk/video/7223544658540956974,D,245600,752,1304,16200000,"aquascape,plantedtank,aquarium,tiktok,fyp,oase,plantedaquarium,aquariumhobby,aquascaping,tropica,freshwateraquarium",,,1681862563
7220408552098139419,7220408552098139419,5.min.green,5-Minute Green,6943139228273427462,2400000,Lets make it green! 💚 #planttok ,2023-04-10 13:12:57,False,Purple Front,6992007585649920002,,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0037c001-aiso/o4I0EQD1RCJNAJnko8gtbfWfctQEFDCQPyA2BN/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2896&bt=1448&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjJugLAhLrus&mime_type=video_mp4&qs=0&rc=aDo2Zjs4ODdlaGc6OGRmZkBpM3ltNjc6ZmszajMzZjczM0AwYGFgMC4zXzAxLmM2MC82YSNiZnAycjRfam5gLS1kMWNzcw%3D%3D&btag=e00080000&expire=1685892817&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=ae537c79e291777befda9b3952299682&tk=tt_chain_token,https://tiktok.com/@5.min.green/video/7220408552098139419,D,300300,609,44800,20300000,planttok,,,1681132377
7195548814101662982,7195548814101662982,boxlapse,boxlapse,6761616992711328774,9100000,115 days in 41 seconds. Red Bell Pepper 🌱 2 years ago i made my first complete seed to fruit time-lapse of a red bell pepper plant. Deserves a repost #timelapse #fyp #learnontiktok ,2023-02-02 13:24:25,False,The Journey to the Grey Havens (feat. Sir James Galway),6705043855298791426,,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c001/ooOQSocFgAfvCIbTjebr2HnCrSteGDI908rYg3/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3778&bt=1889&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjTi.LAhLrus&mime_type=video_mp4&qs=0&rc=Mzo1NGY7OjxkOzs0ZDc8NkBpajxxOGc6ZnB1aTMzNzczM0BgYDA1NDQtXmIxNDA2NWAyYSNlcWJmcjQwY2FgLS1kMTZzcw%3D%3D&btag=e00080000&expire=1685892842&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=9c7c8777c0d58fcee05d4851969bd9ea&tk=tt_chain_token,https://tiktok.com/@boxlapse/video/7195548814101662982,D,4300000,11400,55100,80100000,"timelapse,fyp,learnontiktok",,,1675344265
7214991896354049285,7214991896354049285,user2614105796751,Dayong,7210415389523461126,12100,Growth course of peanut#foryou #foryoupage #fyp #grow #plant ,2023-03-26 22:53:31,False,Caalm Dooown,7196587723711318018,,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c004/oIL4QbejnB0k8VfEXgDzMhIQIBJUMFwQXtRkvA/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2474&bt=1237&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjTi.LAhLrus&mime_type=video_mp4&qs=0&rc=PDRmNDg5ODY7Zzw3NTs4NEBpanh5bDg6Zm9majMzNzczM0AzMWI1NDReNjIxXi8vMy5gYSMvZDRtcjRva2RgLS1kMTZzcw%3D%3D&btag=e00080000&expire=1685892876&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=656cbd0382eb480ebce9ade47c89d9a1&tk=tt_chain_token,https://tiktok.com/@user2614105796751/video/7214991896354049285,D,59600,224,481,2300000,"foryou,foryoupage,fyp,grow,plant",,,1679871211
7217415354354502939,7217415354354502939,paula_silvagni_interiors,P A U L A  S I L V A G N I,6935384506375635973,59500,"✨ Rincón aburrido✨ Una idea genial para darle vida a esos rincones aburridos que tenemos en casa. Una buena planta, un aplique de luz indirecta y unos adornos efecto piedra con musgo es todo lo que necesitamos. Lo encontrais todo en mi perfil de Amazon https://www.amazon.es/shop/paula_silvagni_interiors #salon #salones #diseñodeinteriores #interiordesign #interiorismo #homedecor #homeinspo #decoracion #homedesign #homesweethome #homegoals #homestyling #trucostiktok #hack #homehacks #plantslover #plantas ",2023-04-02 11:37:51,False,Beyonce,6977608652727257090,,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-pve-0037-aiso/ooATIJzaF8LtRCNQpEkyn72hQ7CfICyNhUoASc/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2304&bt=1152&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjJugLAhLrus&mime_type=video_mp4&qs=0&rc=aDtmaDs6OzozNzw2aWhkOUBpanYzZjU6ZnVwajMzZjczM0BeNWFjNC5gXy4xXl9gNGBgYSNxbmYvcjRfZWhgLS1kMWNzcw%3D%3D&btag=e00080000&expire=1685892816&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=70e0c864d1f7be93a265158f7d2813a9&tk=tt_chain_token,https://tiktok.com/@paula_silvagni_interiors/video/7217415354354502939,D,82100,201,3512,2800000,"salon,salones,diseñodeinteriores,interiordesign,interiorismo,homedecor,homeinspo,decoracion,homedesign,homesweethome,homegoals,homestyling,trucostiktok,hack,homehacks,plantslover,plantas",,,1680435471
7207263181444533546,7207263181444533546,tannertheplanter,Tanner Mitchell,6706209152333251589,1400000,"Of you’d like more information on how to care for them, we’ve got care videos! You know where to find them ;) #planttips #houseplantsoftiktok #planttiktok ",2023-03-06 03:02:16,False,original sound,7207263203108178734,,https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c799-us/12da474c4b8d485f9b2fd3c0d4e02de5/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3136&bt=1568&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjJugLAhLrus&mime_type=video_mp4&qs=0&rc=aTkzZ2llMzhpNDczNmdoOkBpM3doODs6ZjVvajMzZzczNEBfYTE2MGAtNjQxNmEyYTU1YSNuY2M0cjRnYC9gLS1kMS9zcw%3D%3D&btag=e00080000&expire=1685892891&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=7ea9821ecd1eb0d7d6c751521a418e8a&tk=tt_chain_token,https://tiktok.com/@tannertheplanter/video/7207263181444533546,D,153900,888,664,1400000,"planttips,houseplantsoftiktok,planttiktok",,,1678071736
7204123619683781893,7204123619683781893,sproutworldofficial,SproutWorld 🌱,6855276211418235909,307500,Planting sunflower pencil this time 🌻✏️ 💛#plantablepencil #sproutworld #plantyourpencil #sustainablechange #sunflower #secondlife #sunflower ,2023-02-25 15:59:02,False,boys a liar remix sped up,7197238895107787562,,https://v16-webapp-prime.tiktok.com/video/tos/useast2a/tos-useast2a-ve-0068c001/o86oCCDIjoZAES5bBfQgCwnHhWqeDC7FCgjfM9/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1978&bt=989&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjJugLAhLrus&mime_type=video_mp4&qs=0&rc=aGlmNDQ7PDhpNzk0aDZoNEBpajQ0OzM6Zng1aTMzNzczM0AxLS0vLjYvNTQxXzM2NmNgYSNeNV9qcjRvc3FgLS1kMTZzcw%3D%3D&btag=e00080000&expire=1685892811&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=f6c6df6eeb80e7e7354b6c3abc3880a6&tk=tt_chain_token,https://tiktok.com/@sproutworldofficial/video/7204123619683781893,D,4600000,13200,19800,39800000,"plantablepencil,sproutworld,plantyourpencil,sustainablechange,sunflower,secondlife,sunflower",Pov: it’s finally time to plant your pencil 🌻  Waiting for it to sprout 🌱 ,,1677340742
7213924041420262698,7213924041420262698,jamesjroy,James Roy,6744114285709247493,220400,"Replying to @mcookiemonster19 the greenhouse was cold this winter, but they pulled through! 🌵 #cacti #cactus #cactiterrarium #cactusterrarium #cactitok #cactustok #minicactus #babycactus #planttok #plantdad #plantupdate #update #planttiktok #terrariummaking #terrarium",2023-03-24 01:49:48,False,Jaded,7208715645196699649,,https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c799-us/5a3afaad392c4e9eb684baf3c5b7fa56/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2276&bt=1138&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjJugLAhLrus&mime_type=video_mp4&qs=0&rc=ZGk7Njk4aWhoZGlmZjxoOEBpM3Z4amU6Zm5pajMzZzczNEBhLy1gL14vNS8xNC1eYi00YSNlM3JvcjRvcWJgLS1kMS9zcw%3D%3D&btag=e00080000&expire=1685892822&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=77b31ea27224182161f45f480c01a7ee&tk=tt_chain_token,https://tiktok.com/@jamesjroy/video/7213924041420262698,D,1400000,1089,13100,25900000,"cacti,cactus,cactiterrarium,cactusterrarium,cactitok,cactustok,minicactus,babycactus,planttok,plantdad,plantupdate,update,planttiktok,terrariummaking,terrarium",,,1679622588
7218283044812213547,7218283044812213547,lilyparadiseflowers,lilyparadiseflowers,6572528756929085446,42500,Broken Pots DIY #diy #diyproject #succulents #suculentas #plants #plantsoftiktok #succu #succulent #garden #jardin #gardening #plantdiy #fairygarden ,2023-04-04 19:44:54,False,Flowers,7187816271247853569,,https://v16-webapp-prime.tiktok.com/video/tos/maliva/tos-maliva-ve-0068c799-us/8ce8719b77af4e66834f88a33328d7fb/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3686&bt=1843&cs=0&ds=3&ft=_RwJrB4Vq8ZmoGQOZc_vjJugLAhLrus&mime_type=video_mp4&qs=0&rc=Omk4OzdnNzs0NjdmaGhnOkBpajs1eWU6Zjg6ajMzZzczNEAtLy9fYTU1XzQxY2EvMTMyYSMuM19pcjRfaGpgLS1kMS9zcw%3D%3D&btag=e00080000&expire=1685892862&l=20230604093320A3DF72BBE1E95828081E&ply_type=2&policy=2&signature=b3739a2716a41dc9ef78e8ca4d27f77b&tk=tt_chain_token,https://tiktok.com/@lilyparadiseflowers/video/7218283044812213547,D,191900,610,11200,3500000,"diy,diyproject,succulents,suculentas,plants,plantsoftiktok,succu,succulent,garden,jardin,gardening,plantdiy,fairygarden",,,1680637494
